product_id,product_name,product_manfacture,product_price,product_image_url,product_available
487608,Parachute Advansed Ayurvedic Hot  Hair Oil  Bottle Of 490 Ml (free 90 Ml Pack),Parachute,207.00,https://cdn01.pharmeasy.in/dam/products_otc/V65294/parachute-advansed-ayurvedic-hot-oil-400-ml-free-90-ml-pack-1-1596183025.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
188925,Perfectil Skin Care Tablets Box Of 30,PERFECTIL,484.50,https://cdn01.pharmeasy.in/dam/products_otc/369035/perfectil-skin-care-tablets-box-of-30-1-1607525196.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
172735,Venusia Moisturizing Lotion - 100ml,Venusia,288.80,https://cdn01.pharmeasy.in/dam/products_otc/209143/venusia-moisturizing-lotion-100ml-2-1597365771.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
21836,Selsun Shampoo 120ml,SELSUN,278.90,https://cdn01.pharmeasy.in/dam/products_otc/157655/selsun-shampoo-120ml-2-1603774486.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
499857,Colgate Anticavity Kids Batman Bubble Fruit Toothpaste (6+ Years) Tube Of 80 G,Colgate,76.50,https://cdn01.pharmeasy.in/dam/products_otc/F65626/colgate-anticavity-kids-batman-toothpaste-6-years-bubble-fruit-flavour-80g-2-1597367211.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
234978,Liveasy Wellness Apple Cider Vinegar 500mg - Digestion Support Tablets - Weight Management - Bottle Of 60,LivEasy,311.48,https://cdn01.pharmeasy.in/dam/products_otc/T00237/liveasy-wellness-apple-cider-vinegar-500mg-aids-in-weight-management-anti-diabetic-anti-inflammatory-supports-digestion-60-veg-caps-1-1593029214.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
234976,Everherb Shilajit 500mg - Natural Vigour Improvement Capsules - Strength & Stamina For Men - Bottle Of 60,EverHerb,499.50,https://cdn01.pharmeasy.in/dam/products_otc/N70299/everherb-shilajit-500mg-natural-vigour-improvement-capsules-strength-stamina-for-men-bottle-of-60-2-1600173673.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
11809,La Shield Spf 40 Sunscreen Gel 60gm,La Shield,790.00,https://cdn01.pharmeasy.in/dam/products_otc/239792/la-shield-spf-40-sunscreen-gel-60gm-2-1601130462.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
192078,Colgate Kids (0-2 Years Extra Soft Bristles) Toothbrush Packet Of 1,Colgate,21.00,https://cdn01.pharmeasy.in/dam/products_otc/I12823/colgate-kids-toothbrush-0-2-years-extra-soft-1-pc-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
227941,Stayfree Drymax Ultra All Nights Size Xl Sanitary Pads Packet Of 28,Stayfree,319.60,https://cdn01.pharmeasy.in/dam/products_otc/C03439/stayfree-drymax-ultra-all-nights-size-xl-sanitary-pads-packet-of-28-2-1600440949.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
