title,description,price,images_url,location
LOW COST VILLA FOR SALE,Prelaunch offer!! Premium quality HMDA 1600sft villa in 200 sq yards for just 80lakhs !!!Location: Nandigama to Isnapur proposed 100ft road.       Call me,"₹ 80,00,000",https://apollo-singapore.akamaized.net:443/v1/files/obzkas0pcw9u-IN/image,"India, Telangana, Chitkul, Isnapur"
IT'S A GOOD OFFER HURRY UP GUYS,Prelaunch offer!! Premium quality HMDA 1600sft villa in 200 sq yards for just 80lakhs !!!Location: Nandigama to Isnapur proposed 100ft road,"₹ 80,00,000",https://apollo-singapore.akamaized.net:443/v1/files/3ingfye6q9rq2-IN/image,"India, Telangana, Hyderabad, Sun City"
3 BHK Fully Furnished Flat for rent in Bandlaguda Jagir,3 BHK Fully Furnished Flat for rent in Bandlaguda Jagir,"₹ 40,000",https://apollo-singapore.akamaized.net:443/v1/files/mz4asxitafwh1-IN/image,"India, Telangana, Hyderabad, Bandlaguda"
2Bhk 850sft East facing independent house for sale,2bhk independent house ready to occupy located in nagaram with good quality of construction.,"₹ 52,00,000",https://apollo-singapore.akamaized.net:443/v1/files/zqdzwvll7ulk3-IN/image,"India, Telangana, Hyderabad, Nagaaram"
"Urgent sale of 1150sqft 2BHK Flat near Rocktown Colony,Lb Nagar","Semi- Furnished 2BHK flat in a good locality,with every facility nearby.Flat is according to Vastu.1 Car parking , with 2 master bedrooms.Only 75 Lacs(negotiable).Only serious interested buyers contact.","₹ 75,00,000",https://apollo-singapore.akamaized.net:443/v1/files/owuad562ozh61-IN/image,"India, Telangana, Hyderabad, Rocktown Colony"
sun glow near venkateshwar colony,ready to move near venkateshwar colony road no .1 neknampur 1225 sft 504 flat 5 th floor,"₹ 60,00,000",https://apollo-singapore.akamaized.net:443/v1/files/b98hgbly8xu5-IN/image,"India, Telangana, Hyderabad, Neknampur"
fortune golden orile,per sft cost 5500/                                                            posession date - march 2021,"₹ 72,16,000",https://apollo-singapore.akamaized.net:443/v1/files/xec61jrqdeqp2-IN/image,"India, Telangana, Hyderabad, Manikonda"
Flat fr sale at Hakeem hills,Under construction Each floor 2 flats 1650 sft 3bhk On 60 feet roadNear to main road,"₹ 74,25,000",https://apollo-singapore.akamaized.net:443/v1/files/avnkk3nqzeye3-IN/image,"India, Telangana, Hyderabad, Mehdipatnam"
2BHK INDEPENDENT HOUSE FOR SALE @ GATED COMMUNITY VENTURE,150 sqy independent house for sale @ kundanpally.100%clear title gated communitycompound Wall around the Venture C C Roads 24 Hours water & Electricity Under Ground Drainage SystemAvenue Plantation childrens Play Area,"₹ 55,00,000",https://apollo-singapore.akamaized.net:443/v1/files/y7qcmxdir5md1-IN/image,"India, Telangana, Hyderabad, Bandlaguda"
2 BHK  HOUSE,1. gated community2. 24*7 security3. over head water tank4. under ground drainage system5. avenue plantation6. electricity7. gated developments available8. near keesara gutta temple9. east facing 10% extra10. amenities 10% extra11.  north facing 10% extra12.any corner plot 15% extra13. north east corner plot 20% extra,"₹ 47,00,000",https://apollo-singapore.akamaized.net:443/v1/files/g6yc4srw9a1c1-IN/image,"India, Telangana, Hyderabad, Dammaiguda"
ONLY SALE FOR GROUND FLOOR.G+1 INDEPENDENT HOUSE.,1BHK (ATTACH BATHROOM )Independent house G+1 house for sale in amberpet jaiswalgarden.only ground floor for sale.five years old building.newly constructed.,"₹ 18,00,000",https://apollo-singapore.akamaized.net:443/v1/files/4pemlgl2lcou-IN/image,"India, Telangana, Hyderabad, Amberpet"
2 BHK proposed house available in HMDA GATED venture near ECIL,"2BHK Proposed House Available In HMDA Gated Venture Near Ecil* anki reddy palli Village *1) Compound Wall around the Venture2) C C Roads3) Round the Clock Security4) 24 Hours water & Electricity5) Under Ground Drainage System6) Avenue Plantation7) Childrens Play Area8) Super Market1) 10 Kms From Ecil, 2).5 Kms From Ghatkesara Centre, 3) 8 Km Distance To Cherlapally Railway Station, 4) 10 Kms To Info Sys1) Loan Approved Project From Nationalized Banks & Gic 80% On Offer Price2) Near To Requel Ford International School, Jubeeli Hills Public School, St Ann's School3) Near To More & Ushodaya Super Market, Vishal & Dmart4) Very Close To The Aditya Multi Speciality  Hospitals, Vijaya & Sudha Hospitals5) 10 Minits Drive To Pocharam Infosys And It Corridor6) With In The Orr Keesara & Gathkesar, With Ghmc Limits","₹ 30,45,890",https://apollo-singapore.akamaized.net:443/v1/files/3g2z9xo99prz2-IN/image,"India, Telangana, Hyderabad, ECIL"
A brand new apartment which is well maintaines and fullt furnished,The 10 month old apartment had wood work tastefully done and bathrooms also have geysers and kitchen has chimney. Both bedrooms have additional sitting area with seat and dressing table,"₹ 80,00,000",https://apollo-singapore.akamaized.net:443/v1/files/a1qz1azjtrc51-IN/image,"India, Telangana, Hyderabad, Raghavendra Colony"
Fully Gated Community Flats for Sale,"PRE LAUNCH OFFERLUXURIOUS GATEDCOMMUNITY APRTMENTS@ SHAMIRPET HYDERABADHMDA & RERA ProjectLand Extant : 8.5 AcersTotal Units : 1175 Flats2BHK & 3BHK ApartmentsTotal 5 Hirise Tower Flat Sizes, 1000 to1500 sq.ft2Cellar +G+ 9 FloorsPRICE SCHEDULEPayment Option:Price : 3000/sq.ft20% Down Payment 80% loanNote : Amenities, Carparking FreeGST & Stamp Duty Extra  PROJECT HIGHLIGHTS &  FEAUTURS:1 Club House2 Power backup3 Intercom 4 Swimming Pool5 Badminton Court6 Indoor & Out door Sports Facilities.               7 Adjacent Exit No.78 Very Close to ENG Colleges9 100% Vasthu10 Very close to Resorts.","₹ 20,00,000",https://apollo-singapore.akamaized.net:443/v1/files/wsen4ywcyzut2-IN/image,"India, Telangana, Hyderabad, Shamirpet"
LEASE FOR FIRST FLOOR NEAR ALKAPUR NEWLY BUILDING,LEASE FOR FIRST FLOOR NEAR ALKAPUR NEWLY BUILDING 3 bed room hall kitchen and ONE sit out area((( peacefull colony ))  alkapur area happy home colony TOLI CHOWKI,"₹ 9,80,000",https://apollo-singapore.akamaized.net:443/v1/files/1dfkosr4g9vl3-IN/image,"India, Telangana, Hyderabad, Tolichowki"
